,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KPIs - BY ACCOUNT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Chemours Company - TBH,,,,,,,,,,,,,,
Revenue ($) , 29 , 29 , 29 , 29 , 29 , 29 , 29 , 29 , 29 , 29 , 29 , 29 , 29 ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) , - , - , - , - , - , - , - , - , (1), - , (0), - , - ,
Red Sites ($) , - , - , - , - , - , - , - , - , (1), - , (0), - , - ,
Red Sites (#) , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - ,
Headcount, 10 , 10 , 9 , 10 , 10 , 9 , 10 , 11 , 11 , 11 , 11 , 11 , 10 ,
Separations , - , 1 , 1 , - , - , 1 , - , - , - , - , - , - , 1 ,
Turnover (%) ,0.0%,10.0%,11.1%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,10.0%,
CSAT , 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , 4.00 , 4.00 ,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Clorox Company - TBH,,,,,,,,,,,,,,
Revenue ($) , 126 , 101 , 103 , 114 , 101 , 105 , 121 , 113 , 140 , 148 , 139 , 123 , 127 ,
Growth (%) ,0.0%,-19.7%,-17.9%,-9.6%,-20.1%,-16.3%,-4.0%,-10.4%,10.9%,17.4%,10.6%,-2.3%,0.8%,
Gap ($) , - , (9), (1), (3), (8), (6), - , - , (1), - , - , - , - ,
Red Sites ($) , - , (9), (3), (3), (8), (6), - , (0), (1), (1), - , (1), - ,
Red Sites (#) , - , 2 , 1 , 2 , 2 , 2 , - , 1 , 2 , 1 , - , 1 , - ,
Headcount, 11 , 11 , 11 , 11 , 11 , 11 , 11 , 11 , 11 , 11 , 11 , 11 , 11 ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 , 5.00 ,, 5.00 ,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Coca-Cola - TBH,,,,,,,,,,,,,,
Revenue ($) , 259 , 241 , 292 , 281 , 286 , 282 , 295 , 288 , 284 , 289 , 294 , 211 , 195 ,
Growth (%) ,0.0%,-7.0%,12.7%,8.7%,10.5%,8.9%,13.9%,11.3%,9.9%,11.5%,13.4%,-18.5%,-24.6%,
Gap ($) , (5), - , - , (12), (10), (2), (14), (7), (21), (9), - , (11), - ,
Red Sites ($) , (5), (0), (0), (12), (10), (2), (14), (7), (21), (9), - , (11), (0),
Red Sites (#) , 3 , 2 , 1 , 3 , 2 , 3 , 2 , 2 , 2 , 2 , - , 3 , 1 ,
Headcount, 70 , 71 , 67 , 67 , 67 , 66 , 64 , 68 , 64 , 66 , 63 , 49 , 49 ,
Separations , 1 , - , 4 , 1 , 1 , 1 , 2 , - , - , 4 , 2 , - , - ,
Turnover (%) ,1.4%,0.0%,6.0%,1.5%,1.5%,1.5%,3.1%,0.0%,0.0%,6.1%,3.2%,0.0%,0.0%,
CSAT , 4.50 , 3.83 , 4.00 , 3.50 , 4.13 , 4.53 , 4.00 , 4.56 , 4.50 , 4.17 , 4.25 , 4.00 , 5.00 ,
YTD Claims , - , - , - , - , - , - , - , 1 , 1 , 1 , 2 , 2 , 3 ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 2 ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2.09 , 2.00 , 3.75 ,
Covestro - TBH,,,,,,,,,,,,,,
Revenue ($) , 48 , 47 , 48 , 49 , 46 , 47 , 49 , 47 , 47 , 47 , 47 , 48 , 47 ,
Growth (%) ,0.0%,-2.9%,0.1%,3.1%,-4.2%,-1.7%,1.5%,-2.5%,-1.5%,-2.1%,-1.4%,-0.8%,-2.7%,
Gap ($) , - , (2), (0), - , - , (2), (1), (0), - , (2), - , - , - ,
Red Sites ($) , - , (2), (0), - , - , (2), (1), (0), - , (2), - , - , - ,
Red Sites (#) , - , 1 , 1 , - , - , 1 , 1 , 1 , - , 1 , - , - , - ,
Headcount, 8 , 8 , 8 , 8 , 8 , 8 , 8 , 8 , 8 , 8 , 7 , 8 , 7 ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , 1 ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.3%,
CSAT , 5.00 , 5.00 , 5.00 , 5.00 , 4.50 , 4.75 , 4.25 , 3.75 , 4.25 , 4.00 , 4.00 , 4.00 , 4.00 ,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Danfoss Power Solutions - TBH,,,,,,,,,,,,,,
Revenue ($) , 162 , 195 , 200 , 215 , 214 , 185 , 206 , 187 , 168 , 167 , 162 , 161 , 156 ,
Growth (%) ,0.0%,19.9%,23.0%,32.1%,31.5%,14.1%,26.8%,15.4%,3.6%,2.8%,-0.4%,-0.8%,-4.0%,
Gap ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) , - , - , - , (1), (1), (7), - , (0), (0), - , (4), - , - ,
Red Sites (#) , - , - , - , 1 , 1 , 1 , - , 1 , 1 , - , 1 , - , - ,
Headcount, 31 , 32 , 34 , 35 , 32 , 31 , 30 , 29 , 26 , 27 , 27 , 27 , 27 ,
Separations , 1 , 1 , - , 1 , 2 , 2 , 1 , 1 , 1 , 1 , - , 1 , - ,
Turnover (%) ,3.2%,3.1%,0.0%,2.9%,6.3%,6.5%,3.3%,3.4%,3.8%,3.7%,0.0%,3.7%,0.0%,
CSAT , 4.28 , 4.20 , 4.35 , 4.41 , 4.38 , 4.16 , 4.67 , 4.38 , 3.94 , 4.38 , 4.25 , 4.38 , 4.58 ,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Duracell - TBH,,,,,,,,,,,,,,
Revenue ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) , (3), - , (0), (0), - , - , (0), - , - , - , - , - , - ,
Red Sites ($) , (3), - , (0), (0), - , - , (0), - , - , - , - , - , - ,
Red Sites (#) , 1 , - , 1 , 1 , - , - , 1 , - , - , - , - , - , - ,
Headcount, - , - , - , - , - , - , - , - , - , - , - , - , - ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Encore Aerojet Rocketdyne - TBH,,,,,,,,,,,,,,
Revenue ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites (#) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Headcount, - , - , - , - , - , - , - , - , - , - , - , - , - ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Gallo Wine - TBH,,,,,,,,,,,,,,
Revenue ($) , 184 , 173 , 180 , 174 , 186 , 169 , 170 , 161 , 168 , 171 , 154 , 157 , 159 ,
Growth (%) ,0.0%,-6.2%,-2.2%,-5.7%,1.1%,-8.0%,-7.6%,-12.8%,-8.8%,-7.3%,-16.4%,-14.7%,-13.4%,
Gap ($) , - , - , (0), (11), (1), (6), - , - , - , - , (6), (7), - ,
Red Sites ($) , (1), (0), (1), (11), (3), (6), - , - , - , - , (6), (7), (0),
Red Sites (#) , 1 , 1 , 1 , 2 , 1 , 1 , - , - , - , - , 1 , 1 , 1 ,
Headcount, 32 , 31 , 34 , 30 , 30 , 29 , 29 , 28 , 28 , 26 , 26 , 26 , 26 ,
Separations , - , 1 , - , 1 , - , - , - , - , - , 2 , - , - , - ,
Turnover (%) ,0.0%,3.2%,0.0%,3.3%,0.0%,0.0%,0.0%,0.0%,0.0%,7.7%,0.0%,0.0%,0.0%,
CSAT , 4.35 , 4.88 , 4.88 , 4.29 , 4.25 , 4.88 , 5.00 , 4.75 , 5.00 , 4.25 , 5.00 , 5.00 , 4.75 ,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
General Dynamics - Jennifer Segovia,,,,,,,,,,,,,,
Revenue ($) , 272 , 274 , 274 , 276 , 275 , 274 , 286 , 277 , 278 , 277 , 274 , 275 , 283 ,
Growth (%) ,0.0%,0.7%,0.8%,1.3%,1.2%,0.8%,5.0%,1.9%,2.2%,1.9%,0.7%,1.1%,4.1%,
Gap ($) , - , - , - , - , - , - , - , - , (1), (0), (1), - , - ,
Red Sites ($) , (8), (8), (7), (7), (8), (10), (5), (8), (11), (10), (13), (3), (5),
Red Sites (#) , 6 , 3 , 3 , 3 , 3 , 3 , 2 , 4 , 4 , 4 , 4 , 4 , 3 ,
Headcount, 43 , 46 , 46 , 46 , 47 , 49 , 48 , 50 , 49 , 48 , 47 , 47 , 47 ,
Separations , - , 1 , 1 , - , - , - , 1 , 1 , - , 1 , - , - , 1 ,
Turnover (%) ,0.0%,2.2%,2.2%,0.0%,0.0%,0.0%,2.1%,2.0%,0.0%,2.1%,0.0%,0.0%,2.1%,
CSAT , 4.96 , 4.88 , 4.90 , 4.78 , 4.66 , 4.75 , 4.80 , 4.77 , 4.76 , 4.60 , 4.31 , 4.50 , 4.58 ,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Hasbro - TBH,,,,,,,,,,,,,,
Revenue ($) , 60 , 60 , 48 , 48 , 49 , 48 , 49 , 50 , 49 , 48 , 50 , 49 , 48 ,
Growth (%) ,0.0%,0.7%,-20.6%,-19.8%,-17.8%,-20.5%,-17.5%,-16.2%,-17.6%,-20.2%,-16.2%,-17.5%,-20.1%,
Gap ($) , - , - , (2), (0), - , - , - , - , - , - , - , - , - ,
Red Sites ($) , - , - , (2), (0), - , - , - , - , - , - , - , - , - ,
Red Sites (#) , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - ,
Headcount, 19 , 16 , 15 , 15 , 12 , 15 , 14 , 14 , 14 , 15 , 14 , 14 , 14 ,
Separations , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 ,
Turnover (%) ,0.0%,6.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,7.1%,
CSAT , 4.75 ,, 4.13 , 4.50 ,,,, 4.25 , 4.50 , 4.50 , 4.00 , 4.25 , 4.25 ,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Henkel - TBH,,,,,,,,,,,,,,
Revenue ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites (#) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Headcount, - , - , - , - , - , - , - , - , - , - , - , - , - ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Hewlett-Packard - Mark Schlerf,,,,,,,,,,,,,,
Revenue ($) , 291 , 303 , 303 , 276 , 351 , 364 , 334 , 339 , 348 , 344 , 358 , 342 , 331 ,
Growth (%) ,0.0%,3.9%,4.1%,-5.3%,20.5%,25.0%,14.6%,16.4%,19.6%,18.1%,22.9%,17.4%,13.7%,
Gap ($) , - , - , - , (5), (15), - , - , - , (3), (3), - , - , - ,
Red Sites ($) , (1), - , (6), (8), (16), (0), (5), (1), (3), (5), (0), (0), - ,
Red Sites (#) , 1 , - , 3 , 5 , 6 , 1 , 3 , 4 , 7 , 4 , 2 , 1 , - ,
Headcount, 44 , 43 , 46 , 54 , 56 , 59 , 58 , 57 , 58 , 61 , 60 , 60 , 60 ,
Separations , - , - , - , - , 1 , 1 , - , 1 , 2 , - , 1 , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,1.8%,1.7%,0.0%,1.8%,3.4%,0.0%,1.7%,0.0%,0.0%,
CSAT , 4.50 , 4.44 , 4.44 , 4.69 , 4.78 , 4.75 , 4.60 , 4.63 , 4.65 , 4.77 , 4.68 , 4.66 , 4.46 ,
YTD Claims , 1 , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Hughes Christensen - TBH,,,,,,,,,,,,,,
Revenue ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites (#) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Headcount, - , - , - , - , - , - , - , - , - , - , - , - , - ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Intel - Jeremy Johnson,,,,,,,,,,,,,,
Revenue ($) ," 3,385 "," 3,347 "," 3,329 "," 3,369 "," 3,392 "," 3,435 "," 3,459 "," 3,692 "," 3,622 "," 3,597 "," 3,440 "," 3,464 "," 3,397 ",
Growth (%) ,0.0%,-1.1%,-1.7%,-0.5%,0.2%,1.5%,2.2%,9.1%,7.0%,6.3%,1.6%,2.3%,0.4%,
Gap ($) , - , - , - , - , (28), - , - , - , - , - , - , - , - ,
Red Sites ($) , (77), (19), (12), (38), (111), (5), (2), (1), (0), (0), (1), (13), (0),
Red Sites (#) , 7 , 7 , 3 , 7 , 8 , 4 , 3 , 2 , 3 , 1 , 2 , 3 , 1 ,
Headcount, 499 , 486 , 484 , 488 , 479 , 473 , 479 , 486 , 480 , 482 , 480 , 477 , 479 ,
Separations , 5 , 7 , 11 , 6 , 5 , 5 , 2 , 10 , 7 , 10 , 10 , 4 , 4 ,
Turnover (%) ,1.0%,1.4%,2.3%,1.2%,1.0%,1.1%,0.4%,2.1%,1.5%,2.1%,2.1%,0.8%,0.8%,
CSAT , 4.96 , 4.86 , 4.88 , 4.82 , 4.83 , 4.89 , 4.82 , 4.89 , 4.93 , 4.90 , 4.86 , 4.88 , 4.69 ,
YTD Claims , 5 , - , - , - , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 2 ,
YTD Recordables , 2 , - , - , - , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 2 ,
TRIR , 0.40 , -   , -   , -   , 0.65 , 0.52 , 0.44 , 0.37 , 0.32 , 0.58 , 0.52 , 0.48 , 0.44 ,
Jireh Semiconductor - TBH,,,,,,,,,,,,,,
Revenue ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) , - , - , - , - , (0), - , - , - , - , - , - , - , - ,
Red Sites ($) , - , - , - , - , (0), - , - , - , - , - , - , - , - ,
Red Sites (#) , - , - , - , - , 1 , - , - , - , - , - , - , - , - ,
Headcount, - , - , - , - , - , - , - , - , - , - , - , - , - ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
John Deere - TBH,,,,,,,,,,,,,,
Revenue ($) ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites (#) ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Headcount,, - , - , - , - , - , - , - , - , - , - , - , - ,
Separations ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims ,, - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables ,, - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
JSR Micro - TBH,,,,,,,,,,,,,,
Revenue ($) , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) , - , - , - , - , (1), - , - , (0), - , - , (0), (0), (0),
Red Sites ($) , - , - , - , - , (1), - , - , (0), - , - , (0), (0), (0),
Red Sites (#) , - , - , - , - , 1 , - , - , 1 , - , - , 1 , 1 , 1 ,
Headcount, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Micron Tech - Siddarth Shah,,,,,,,,,,,,,,
Revenue ($) , 896 , 906 , 924 , 932 , 954 ," 1,059 ", 926 ," 1,060 ", 935 ," 1,131 "," 1,133 "," 1,111 "," 1,171 ",
Growth (%) ,0.0%,1.1%,3.1%,4.0%,6.4%,18.2%,3.3%,18.2%,4.3%,26.2%,26.4%,24.0%,30.7%,
