,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KPIs - BY ACCOUNT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,
Turnover (%) ,2.0%,8.7%,1.6%,1.7%,2.7%,11.9%,1.9%,1.9%,2.0%,2.0%,2.3%,0.0%,4.3%,
CSAT , 5.00 , 3.25 , 4.00 , 4.25 , 4.33 , 4.00 , 3.88 , 3.50 , 4.13 , 4.00 , 4.44 , 4.63 , 4.25 ,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , 2 , 2 ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , 2 , 2 ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4.20 , 3.92 ,
State Farm Ins - Tiffany Purifoy,,,,,,,,,,,,,,
Revenue ($) , 111 , 110 , 117 , 118 , 122 , 123 , 124 , 118 , 118 , 131 , 124 , 120 , 128 ,
Growth (%) ,0.0%,-0.7%,5.8%,7.0%,10.3%,11.1%,11.8%,6.7%,6.7%,18.2%,12.3%,8.8%,15.8%,
Gap ($) , (3), - , - , - , - , (1), - , - , - , - , - , - , - ,
Red Sites ($) , (8), (6), (3), (3), (3), (4), (1), (3), (3), (4), (2), (1), (2),
Red Sites (#) , 9 , 7 , 6 , 7 , 7 , 7 , 4 , 6 , 5 , 8 , 5 , 1 , 3 ,
Headcount, 27 , 25 , 24 , 25 , 24 , 24 , 23 , 23 , 23 , 22 , 24 , 24 , 23 ,
Separations , - , 2 , - , - , - , 1 , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,8.0%,0.0%,0.0%,0.0%,4.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT , 4.72 , 4.72 , 5.00 , 4.59 , 4.71 , 4.50 , 4.75 , 4.68 , 4.50 , 4.46 , 4.67 , 4.75 , 4.57 ,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Swiss Re - TBH,,,,,,,,,,,,,,
Revenue ($) , 11 , 9 , 10 , 10 , 10 , 10 , 6 , 6 , 6 , 6 , 6 , 6 , 7 ,
Growth (%) ,0.0%,-14.1%,-9.1%,-6.0%,-6.0%,-6.0%,-39.1%,-39.1%,-39.1%,-39.1%,-39.1%,-39.1%,-32.8%,
Gap ($) , - , (4), (3), (3), (1), (4), (4), (3), (2), (5), (2), (2), - ,
Red Sites ($) , (2), (4), (3), (3), (1), (4), (4), (3), (2), (5), (2), (2), - ,
Red Sites (#) , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , - ,
Headcount, 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 1 , 1 ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,, 5.00 ,,, 4.75 , 4.75 , 4.25 ,, 4.50 ,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Charles Schwab - Tiffany Purifoy,,,,,,,,,,,,,,
Revenue ($) , 444 , 447 , 450 , 463 , 472 , 457 , 453 , 464 , 462 , 456 , 451 , 439 , 454 ,
Growth (%) ,0.0%,0.8%,1.5%,4.3%,6.3%,3.0%,2.0%,4.5%,4.0%,2.7%,1.6%,-1.2%,2.4%,
Gap ($) , - , - , - , - , (2), - , - , - , - , - , (9), (17), (1),
Red Sites ($) , (1), (5), (15), (14), (19), (11), (8), (8), (18), (12), (20), (35), (19),
Red Sites (#) , 4 , 7 , 6 , 6 , 6 , 6 , 5 , 6 , 7 , 4 , 11 , 8 , 5 ,
Headcount, 61 , 63 , 65 , 65 , 64 , 67 , 61 , 63 , 64 , 66 , 66 , 65 , 65 ,
Separations , - , - , 3 , 2 , 2 , - , 4 , - , - , 2 , 2 , 1 , 1 ,
Turnover (%) ,0.0%,0.0%,4.6%,3.1%,3.1%,0.0%,6.6%,0.0%,0.0%,3.0%,3.0%,1.5%,1.5%,
CSAT , 4.19 , 4.22 , 4.13 , 4.58 , 3.83 , 4.31 , 4.48 , 4.38 , 4.46 , 4.03 , 4.63 , 4.34 , 4.45 ,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
T Rowe Price - Tiffany Purifoy,,,,,,,,,,,,,,
Revenue ($) , 163 , 163 , 163 , 234 , 160 , 167 , 164 , 166 , 168 , 175 , 176 , 173 , 175 ,
Growth (%) ,0.0%,-0.1%,0.0%,43.5%,-1.8%,2.2%,0.5%,1.5%,3.2%,7.3%,7.9%,6.2%,7.4%,
Gap ($) , - , - , (2), - , (2), - , (3), - , (0), - , - , - , - ,
Red Sites ($) , - , (1), (2), (1), (2), - , (3), (0), (0), - , (1), - , - ,
Red Sites (#) , - , 1 , 2 , 1 , 1 , - , 1 , 1 , 1 , - , 1 , - , - ,
Headcount, 38 , 38 , 39 , 39 , 37 , 38 , 38 , 39 , 37 , 37 , 37 , 38 , 39 ,
Separations , - , 1 , - , 2 , 1 , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,2.6%,0.0%,5.1%,2.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT , 4.31 , 4.25 , 4.44 , 4.38 , 4.06 , 3.88 , 4.00 , 4.31 , 4.00 , 4.00 , 4.04 , 3.75 , 4.13 ,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
CIGNA - Julie Bianchi,,,,,,,,,,,,,,
Revenue ($) , 357 , 354 , 353 , 351 , 351 , 343 , 348 , 345 , 350 , 351 , 354 , 376 , 354 ,
Growth (%) ,0.0%,-0.8%,-1.3%,-1.7%,-1.7%,-3.9%,-2.6%,-3.4%,-1.9%,-1.8%,-0.8%,5.3%,-0.8%,
Gap ($) , (17), (17), (18), (17), (8), (18), (10), (4), (2), (6), (8), - , - ,
Red Sites ($) , (18), (18), (20), (18), (12), (19), (12), (8), (9), (8), (11), - , (2),
Red Sites (#) , 6 , 4 , 4 , 3 , 2 , 3 , 2 , 2 , 2 , 2 , 3 , - , 1 ,
Headcount, 65 , 62 , 64 , 64 , 65 , 63 , 65 , 64 , 63 , 62 , 60 , 60 , 60 ,
Separations , - , 2 , - , 1 , - , 1 , - , 2 , 1 , 1 , 3 , 1 , - ,
Turnover (%) ,0.0%,3.2%,0.0%,1.6%,0.0%,1.6%,0.0%,3.1%,1.6%,1.6%,5.0%,1.7%,0.0%,
CSAT , 4.27 , 4.23 , 4.39 , 4.17 , 4.35 , 4.38 , 4.44 , 4.33 , 4.39 , 4.21 , 4.44 , 4.24 , 4.30 ,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Citibank - Tiffany Purifoy,,,,,,,,,,,,,,
Revenue ($) , 68 , 67 , 85 , 67 , 124 , 232 , 246 , 241 , 251 , 246 , 246 , 261 , 238 ,
Growth (%) ,0.0%,-1.6%,25.8%,-1.6%,82.8%,241.9%,262.8%,256.2%,269.8%,262.4%,262.6%,285.4%,251.0%,
Gap ($) , (4), (8), (2), (1), (15), - , - , (5), (13), (4), - , - , (2),
Red Sites ($) , (4), (8), (2), (1), (17), (1), (9), (18), (28), (18), (17), (17), (11),
Red Sites (#) , 1 , 1 , 1 , 2 , 2 , 2 , 1 , 1 , 1 , 1 , 1 , 1 , 2 ,
Headcount, 16 , 15 , 14 , 21 , 48 , 51 , 50 , 55 , 55 , 51 , 53 , 55 , 53 ,
Separations , - , 1 , 1 , - , - , 15 , 6 , 5 , 3 , 5 , 1 , 1 , 2 ,
Turnover (%) ,0.0%,6.7%,7.1%,0.0%,0.0%,29.4%,12.0%,9.1%,5.5%,9.8%,1.9%,1.8%,3.8%,
